Category	Channels	Playlist
iptv	10	http://www.yourdomain.cn:4600/tvbox/iptv.m3u
ipv4  10  https://live.zbds.top/tv/iptv4.m3u
ftindy 10 https://raw.githubusercontent.com/Ftindy/IPTV-URL/main/IPV6.m3u
#########
Animation	63	https://iptv-org.github.io/iptv/categories/animation.m3u
Auto	14	https://iptv-org.github.io/iptv/categories/auto.m3u
Business	72	https://iptv-org.github.io/iptv/categories/business.m3u
Classic	41	https://iptv-org.github.io/iptv/categories/classic.m3u
Comedy	68	https://iptv-org.github.io/iptv/categories/comedy.m3u
Cooking	29	https://iptv-org.github.io/iptv/categories/cooking.m3u
Culture	168	https://iptv-org.github.io/iptv/categories/culture.m3u
Documentary	94	https://iptv-org.github.io/iptv/categories/documentary.m3u
Education	160	https://iptv-org.github.io/iptv/categories/education.m3u
Entertainment	557	https://iptv-org.github.io/iptv/categories/entertainment.m3u
Family	46	https://iptv-org.github.io/iptv/categories/family.m3u
General	2353	https://iptv-org.github.io/iptv/categories/general.m3u
Kids	218	https://iptv-org.github.io/iptv/categories/kids.m3u
Legislative	190	https://iptv-org.github.io/iptv/categories/legislative.m3u
Lifestyle	88	https://iptv-org.github.io/iptv/categories/lifestyle.m3u
Movies	286	https://iptv-org.github.io/iptv/categories/movies.m3u
Music	653	https://iptv-org.github.io/iptv/categories/music.m3u
News	766	https://iptv-org.github.io/iptv/categories/news.m3u
Outdoor	44	https://iptv-org.github.io/iptv/categories/outdoor.m3u
Relax	6	https://iptv-org.github.io/iptv/categories/relax.m3u
Religious	710	https://iptv-org.github.io/iptv/categories/religious.m3u
Science	23	https://iptv-org.github.io/iptv/categories/science.m3u
Series	198	https://iptv-org.github.io/iptv/categories/series.m3u
Shop	89	https://iptv-org.github.io/iptv/categories/shop.m3u
Sports	239	https://iptv-org.github.io/iptv/categories/sports.m3u
Travel	43	https://iptv-org.github.io/iptv/categories/travel.m3u
Weather	14	https://iptv-org.github.io/iptv/categories/weather.m3u
XXX	0	https://iptv-org.github.io/iptv/categories/xxx.m3u
